priority,date,timestamp,datetime,tag,zone,message,possible_cause,is_bad_actor
High,2026-05-08,08:42:02.100,2026-05-08T08:42:02.100,Vib_Sensor_04_Err,Compressor Station A,Critical threshold broken for Vib_Sensor_04_Err,Вибрация превысила критический порог. Возможный износ подшипника или дисбаланс ротора.,1
Medium,2026-05-08,08:42:04.100,2026-05-08T08:42:04.100,Shaft_Displacement,Compressor Station A,Critical threshold broken for Shaft_Displacement,Осевое смещение вала за пределами допуска. Проверить муфту и опоры.,0
Low,2026-05-08,08:42:11.100,2026-05-08T08:42:11.100,Flow_Variance,Boiler Unit,Critical threshold broken for Flow_Variance,Нестабильный расход. Частичное засорение трубопровода.,0
Medium,2026-05-08,08:42:12.100,2026-05-08T08:42:12.100,Lube_Oil_Press_Low,Compressor Station A,Critical threshold broken for Lube_Oil_Press_Low,Давление смазочного масла ниже нормы. Проверить масляный насос и фильтры.,0
High,2026-05-08,08:42:17.100,2026-05-08T08:42:17.100,Pump_Cavitation,Pump Station B,Critical threshold broken for Pump_Cavitation,Кавитация насоса. Снизить производительность или повысить давление на входе.,1
High,2026-05-08,08:42:19.100,2026-05-08T08:42:19.100,Vib_Sensor_04_Err,Compressor Station A,Critical threshold broken for Vib_Sensor_04_Err,Вибрация превысила критический порог. Возможный износ подшипника или дисбаланс ротора.,1
High,2026-05-08,08:42:19.200,2026-05-08T08:42:19.200,Vib_Sensor_04_Err,Compressor Station A,Critical threshold broken for Vib_Sensor_04_Err,Вибрация превысила критический порог. Возможный износ подшипника или дисбаланс ротора.,1
Medium,2026-05-08,08:42:31.200,2026-05-08T08:42:31.200,Pressure_Drop,Pump Station B,Critical threshold broken for Pressure_Drop,Падение давления. Возможна утечка или засорение фильтра.,0
Medium,2026-05-08,08:42:31.300,2026-05-08T08:42:31.300,Bearing_Temp_High,Compressor Station A,Critical threshold broken for Bearing_Temp_High,Перегрев подшипника. Недостаточная смазка или повреждение обоймы.,0
High,2026-05-08,08:42:44.300,2026-05-08T08:42:44.300,Vib_Sensor_04_Err,Compressor Station A,Critical threshold broken for Vib_Sensor_04_Err,Вибрация превысила критический порог. Возможный износ подшипника или дисбаланс ротора.,1
High,2026-05-08,08:42:51.300,2026-05-08T08:42:51.300,Pump_Cavitation,Pump Station B,Critical threshold broken for Pump_Cavitation,Кавитация насоса. Снизить производительность или повысить давление на входе.,1
Medium,2026-05-08,08:42:58.300,2026-05-08T08:42:58.300,Lube_Oil_Press_Low,Compressor Station A,Critical threshold broken for Lube_Oil_Press_Low,Давление смазочного масла ниже нормы. Проверить масляный насос и фильтры.,0
High,2026-05-08,08:42:58.400,2026-05-08T08:42:58.400,Vib_Sensor_04_Err,Compressor Station A,Critical threshold broken for Vib_Sensor_04_Err,Вибрация превысила критический порог. Возможный износ подшипника или дисбаланс ротора.,1
High,2026-05-08,08:43:01.400,2026-05-08T08:43:01.400,Vib_Sensor_04_Err,Compressor Station A,Critical threshold broken for Vib_Sensor_04_Err,Вибрация превысила критический порог. Возможный износ подшипника или дисбаланс ротора.,1
High,2026-05-08,08:43:10.400,2026-05-08T08:43:10.400,Pump_Cavitation,Pump Station B,Critical threshold broken for Pump_Cavitation,Кавитация насоса. Снизить производительность или повысить давление на входе.,1
High,2026-05-08,08:43:12.400,2026-05-08T08:43:12.400,Pump_Cavitation,Pump Station B,Critical threshold broken for Pump_Cavitation,Кавитация насоса. Снизить производительность или повысить давление на входе.,1
Low,2026-05-08,08:43:23.400,2026-05-08T08:43:23.400,Temp_Crit_B,Boiler Unit,Critical threshold broken for Temp_Crit_B,Критическая температура в зоне B. Нарушение теплообмена.,0
Medium,2026-05-08,08:43:25.400,2026-05-08T08:43:25.400,Bearing_Temp_High,Compressor Station A,Critical threshold broken for Bearing_Temp_High,Перегрев подшипника. Недостаточная смазка или повреждение обоймы.,0
Medium,2026-05-08,08:43:26.400,2026-05-08T08:43:26.400,Bearing_Temp_High,Compressor Station A,Critical threshold broken for Bearing_Temp_High,Перегрев подшипника. Недостаточная смазка или повреждение обоймы.,0
High,2026-05-08,08:43:32.400,2026-05-08T08:43:32.400,Pump_Cavitation,Pump Station B,Critical threshold broken for Pump_Cavitation,Кавитация насоса. Снизить производительность или повысить давление на входе.,1
Medium,2026-05-08,08:43:42.400,2026-05-08T08:43:42.400,Shaft_Displacement,Compressor Station A,Critical threshold broken for Shaft_Displacement,Осевое смещение вала за пределами допуска. Проверить муфту и опоры.,0
High,2026-05-08,08:43:44.400,2026-05-08T08:43:44.400,Vib_Sensor_04_Err,Compressor Station A,Critical threshold broken for Vib_Sensor_04_Err,Вибрация превысила критический порог. Возможный износ подшипника или дисбаланс ротора.,1
High,2026-05-08,08:43:44.500,2026-05-08T08:43:44.500,Vib_Sensor_04_Err,Compressor Station A,Critical threshold broken for Vib_Sensor_04_Err,Вибрация превысила критический порог. Возможный износ подшипника или дисбаланс ротора.,1
Low,2026-05-08,08:43:49.500,2026-05-08T08:43:49.500,Flow_Variance,Boiler Unit,Critical threshold broken for Flow_Variance,Нестабильный расход. Частичное засорение трубопровода.,0
High,2026-05-09,08:00:01.000,2026-05-09T08:00:01.000,Vib_Sensor_04_Err,Compressor Station A,Critical threshold broken for Vib_Sensor_04_Err,Вибрация превысила критический порог. Возможный износ подшипника или дисбаланс ротора.,1
Low,2026-05-09,08:00:04.000,2026-05-09T08:00:04.000,Valve_Slow,Compressor Station A,Critical threshold broken for Valve_Slow,Запаздывание клапана. Загрязнение привода или износ уплотнений.,0
Medium,2026-05-09,08:00:06.000,2026-05-09T08:00:06.000,Lube_Oil_Press_Low,Compressor Station A,Critical threshold broken for Lube_Oil_Press_Low,Давление смазочного масла ниже нормы. Проверить масляный насос и фильтры.,0
High,2026-05-09,08:00:16.000,2026-05-09T08:00:16.000,Steam_Press_High,Boiler Unit,Critical threshold broken for Steam_Press_High,Давление пара превышает норму. Проверить регулятор давления и предохранительный клапан.,1
High,2026-05-09,08:00:20.000,2026-05-09T08:00:20.000,Vib_Sensor_04_Err,Compressor Station A,Critical threshold broken for Vib_Sensor_04_Err,Вибрация превысила критический порог. Возможный износ подшипника или дисбаланс ротора.,1
Low,2026-05-09,08:00:21.000,2026-05-09T08:00:21.000,Valve_Slow,Compressor Station A,Critical threshold broken for Valve_Slow,Запаздывание клапана. Загрязнение привода или износ уплотнений.,0
High,2026-05-09,08:00:26.000,2026-05-09T08:00:26.000,Steam_Press_High,Boiler Unit,Critical threshold broken for Steam_Press_High,Давление пара превышает норму. Проверить регулятор давления и предохранительный клапан.,1
High,2026-05-09,08:00:37.000,2026-05-09T08:00:37.000,Vib_Sensor_04_Err,Compressor Station A,Critical threshold broken for Vib_Sensor_04_Err,Вибрация превысила критический порог. Возможный износ подшипника или дисбаланс ротора.,1
High,2026-05-09,08:00:43.000,2026-05-09T08:00:43.000,Vib_Sensor_04_Err,Compressor Station A,Critical threshold broken for Vib_Sensor_04_Err,Вибрация превысила критический порог. Возможный износ подшипника или дисбаланс ротора.,1
High,2026-05-09,08:00:51.000,2026-05-09T08:00:51.000,Pump_Cavitation,Pump Station B,Critical threshold broken for Pump_Cavitation,Кавитация насоса. Снизить производительность или повысить давление на входе.,1
High,2026-05-09,08:00:54.000,2026-05-09T08:00:54.000,Vib_Sensor_04_Err,Compressor Station A,Critical threshold broken for Vib_Sensor_04_Err,Вибрация превысила критический порог. Возможный износ подшипника или дисбаланс ротора.,1
High,2026-05-09,08:00:54.100,2026-05-09T08:00:54.100,Vib_Sensor_04_Err,Compressor Station A,Critical threshold broken for Vib_Sensor_04_Err,Вибрация превысила критический порог. Возможный износ подшипника или дисбаланс ротора.,1
High,2026-05-09,08:00:55.100,2026-05-09T08:00:55.100,Vib_Sensor_04_Err,Compressor Station A,Critical threshold broken for Vib_Sensor_04_Err,Вибрация превысила критический порог. Возможный износ подшипника или дисбаланс ротора.,1
Medium,2026-05-09,08:00:58.100,2026-05-09T08:00:58.100,Valve_Stuck_Close,Boiler Unit,Critical threshold broken for Valve_Stuck_Close,Клапан не открывается. Механическая блокировка или отказ привода.,0
Medium,2026-05-09,08:01:06.100,2026-05-09T08:01:06.100,Temp_Delta_High,Heat Exchanger C,Critical threshold broken for Temp_Delta_High,Высокая разница температур. Нарушение режима теплопередачи.,0
High,2026-05-09,08:01:14.100,2026-05-09T08:01:14.100,HX_FoulingAlarm,Heat Exchanger C,Critical threshold broken for HX_FoulingAlarm,Загрязнение теплообменника. Снижение КПД — требуется промывка.,1
High,2026-05-09,08:01:18.100,2026-05-09T08:01:18.100,Vib_Sensor_04_Err,Compressor Station A,Critical threshold broken for Vib_Sensor_04_Err,Вибрация превысила критический порог. Возможный износ подшипника или дисбаланс ротора.,1
High,2026-05-09,08:01:29.100,2026-05-09T08:01:29.100,Steam_Press_High,Boiler Unit,Critical threshold broken for Steam_Press_High,Давление пара превышает норму. Проверить регулятор давления и предохранительный клапан.,1
High,2026-05-09,08:01:38.100,2026-05-09T08:01:38.100,HX_FoulingAlarm,Heat Exchanger C,Critical threshold broken for HX_FoulingAlarm,Загрязнение теплообменника. Снижение КПД — требуется промывка.,1
High,2026-05-09,08:01:41.100,2026-05-09T08:01:41.100,Vib_Sensor_04_Err,Compressor Station A,Critical threshold broken for Vib_Sensor_04_Err,Вибрация превысила критический порог. Возможный износ подшипника или дисбаланс ротора.,1
Low,2026-05-09,08:01:41.200,2026-05-09T08:01:41.200,Valve_Slow,Compressor Station A,Critical threshold broken for Valve_Slow,Запаздывание клапана. Загрязнение привода или износ уплотнений.,0
Medium,2026-05-09,08:01:44.200,2026-05-09T08:01:44.200,Valve_Stuck_Close,Boiler Unit,Critical threshold broken for Valve_Stuck_Close,Клапан не открывается. Механическая блокировка или отказ привода.,0
Medium,2026-05-09,08:01:52.200,2026-05-09T08:01:52.200,Flow_Low,Pump Station B,Critical threshold broken for Flow_Low,Низкий расход. Проверить задвижки и состояние рабочего колеса.,0
Medium,2026-05-09,08:01:55.200,2026-05-09T08:01:55.200,Bearing_Temp_High,Compressor Station A,Critical threshold broken for Bearing_Temp_High,Перегрев подшипника. Недостаточная смазка или повреждение обоймы.,0
High,2026-05-09,08:02:02.200,2026-05-09T08:02:02.200,Vib_Sensor_04_Err,Compressor Station A,Critical threshold broken for Vib_Sensor_04_Err,Вибрация превысила критический порог. Возможный износ подшипника или дисбаланс ротора.,1
Medium,2026-05-09,08:02:12.200,2026-05-09T08:02:12.200,Lube_Oil_Press_Low,Compressor Station A,Critical threshold broken for Lube_Oil_Press_Low,Давление смазочного масла ниже нормы. Проверить масляный насос и фильтры.,0
Medium,2026-05-09,08:02:24.200,2026-05-09T08:02:24.200,Lube_Oil_Press_Low,Compressor Station A,Critical threshold broken for Lube_Oil_Press_Low,Давление смазочного масла ниже нормы. Проверить масляный насос и фильтры.,0
High,2026-05-09,08:02:25.200,2026-05-09T08:02:25.200,Pump_Cavitation,Pump Station B,Critical threshold broken for Pump_Cavitation,Кавитация насоса. Снизить производительность или повысить давление на входе.,1
Medium,2026-05-09,08:02:27.200,2026-05-09T08:02:27.200,Lube_Oil_Press_Low,Compressor Station A,Critical threshold broken for Lube_Oil_Press_Low,Давление смазочного масла ниже нормы. Проверить масляный насос и фильтры.,0
Medium,2026-05-09,08:02:31.200,2026-05-09T08:02:31.200,Lube_Oil_Press_Low,Compressor Station A,Critical threshold broken for Lube_Oil_Press_Low,Давление смазочного масла ниже нормы. Проверить масляный насос и фильтры.,0
Medium,2026-05-09,08:02:32.200,2026-05-09T08:02:32.200,Bearing_Temp_High,Compressor Station A,Critical threshold broken for Bearing_Temp_High,Перегрев подшипника. Недостаточная смазка или повреждение обоймы.,0
Medium,2026-05-09,08:02:32.300,2026-05-09T08:02:32.300,Temp_Delta_High,Heat Exchanger C,Critical threshold broken for Temp_Delta_High,Высокая разница температур. Нарушение режима теплопередачи.,0
High,2026-05-09,08:02:37.300,2026-05-09T08:02:37.300,Vib_Sensor_04_Err,Compressor Station A,Critical threshold broken for Vib_Sensor_04_Err,Вибрация превысила критический порог. Возможный износ подшипника или дисбаланс ротора.,1
High,2026-05-09,08:02:38.300,2026-05-09T08:02:38.300,Vib_Sensor_04_Err,Compressor Station A,Critical threshold broken for Vib_Sensor_04_Err,Вибрация превысила критический порог. Возможный износ подшипника или дисбаланс ротора.,1
High,2026-05-09,08:02:38.400,2026-05-09T08:02:38.400,Pump_Cavitation,Pump Station B,Critical threshold broken for Pump_Cavitation,Кавитация насоса. Снизить производительность или повысить давление на входе.,1
High,2026-05-09,08:02:40.400,2026-05-09T08:02:40.400,Vib_Sensor_04_Err,Compressor Station A,Critical threshold broken for Vib_Sensor_04_Err,Вибрация превысила критический порог. Возможный износ подшипника или дисбаланс ротора.,1
High,2026-05-09,08:02:42.400,2026-05-09T08:02:42.400,Vib_Sensor_04_Err,Compressor Station A,Critical threshold broken for Vib_Sensor_04_Err,Вибрация превысила критический порог. Возможный износ подшипника или дисбаланс ротора.,1
Low,2026-05-09,08:02:42.500,2026-05-09T08:02:42.500,Flow_Variance,Boiler Unit,Critical threshold broken for Flow_Variance,Нестабильный расход. Частичное засорение трубопровода.,0
Medium,2026-05-09,08:02:53.500,2026-05-09T08:02:53.500,Shaft_Displacement,Compressor Station A,Critical threshold broken for Shaft_Displacement,Осевое смещение вала за пределами допуска. Проверить муфту и опоры.,0
High,2026-05-09,08:03:00.500,2026-05-09T08:03:00.500,HX_FoulingAlarm,Heat Exchanger C,Critical threshold broken for HX_FoulingAlarm,Загрязнение теплообменника. Снижение КПД — требуется промывка.,1
High,2026-05-09,08:03:11.500,2026-05-09T08:03:11.500,Vib_Sensor_04_Err,Compressor Station A,Critical threshold broken for Vib_Sensor_04_Err,Вибрация превысила критический порог. Возможный износ подшипника или дисбаланс ротора.,1
Medium,2026-05-09,08:03:15.500,2026-05-09T08:03:15.500,Valve_Stuck_Close,Boiler Unit,Critical threshold broken for Valve_Stuck_Close,Клапан не открывается. Механическая блокировка или отказ привода.,0
Medium,2026-05-09,08:03:16.500,2026-05-09T08:03:16.500,Lube_Oil_Press_Low,Compressor Station A,Critical threshold broken for Lube_Oil_Press_Low,Давление смазочного масла ниже нормы. Проверить масляный насос и фильтры.,0
Medium,2026-05-09,08:03:18.500,2026-05-09T08:03:18.500,Bearing_Temp_High,Compressor Station A,Critical threshold broken for Bearing_Temp_High,Перегрев подшипника. Недостаточная смазка или повреждение обоймы.,0
High,2026-05-09,08:03:19.500,2026-05-09T08:03:19.500,Vib_Sensor_04_Err,Compressor Station A,Critical threshold broken for Vib_Sensor_04_Err,Вибрация превысила критический порог. Возможный износ подшипника или дисбаланс ротора.,1
High,2026-05-09,08:03:30.500,2026-05-09T08:03:30.500,HX_FoulingAlarm,Heat Exchanger C,Critical threshold broken for HX_FoulingAlarm,Загрязнение теплообменника. Снижение КПД — требуется промывка.,1
Low,2026-05-09,08:03:33.500,2026-05-09T08:03:33.500,Temp_Crit_B,Boiler Unit,Critical threshold broken for Temp_Crit_B,Критическая температура в зоне B. Нарушение теплообмена.,0
Low,2026-05-09,08:03:34.500,2026-05-09T08:03:34.500,Valve_Slow,Compressor Station A,Critical threshold broken for Valve_Slow,Запаздывание клапана. Загрязнение привода или износ уплотнений.,0
High,2026-05-09,08:03:45.500,2026-05-09T08:03:45.500,Vib_Sensor_04_Err,Compressor Station A,Critical threshold broken for Vib_Sensor_04_Err,Вибрация превысила критический порог. Возможный износ подшипника или дисбаланс ротора.,1
High,2026-05-09,08:03:49.500,2026-05-09T08:03:49.500,Vib_Sensor_04_Err,Compressor Station A,Critical threshold broken for Vib_Sensor_04_Err,Вибрация превысила критический порог. Возможный износ подшипника или дисбаланс ротора.,1
Medium,2026-05-09,08:03:51.500,2026-05-09T08:03:51.500,Lube_Oil_Press_Low,Compressor Station A,Critical threshold broken for Lube_Oil_Press_Low,Давление смазочного масла ниже нормы. Проверить масляный насос и фильтры.,0
Low,2026-05-09,08:03:54.500,2026-05-09T08:03:54.500,Temp_Crit_B,Boiler Unit,Critical threshold broken for Temp_Crit_B,Критическая температура в зоне B. Нарушение теплообмена.,0
Medium,2026-05-09,08:03:57.500,2026-05-09T08:03:57.500,Temp_Delta_High,Heat Exchanger C,Critical threshold broken for Temp_Delta_High,Высокая разница температур. Нарушение режима теплопередачи.,0
High,2026-05-09,08:04:07.500,2026-05-09T08:04:07.500,Vib_Sensor_04_Err,Compressor Station A,Critical threshold broken for Vib_Sensor_04_Err,Вибрация превысила критический порог. Возможный износ подшипника или дисбаланс ротора.,1
High,2026-05-09,08:04:15.500,2026-05-09T08:04:15.500,Vib_Sensor_04_Err,Compressor Station A,Critical threshold broken for Vib_Sensor_04_Err,Вибрация превысила критический порог. Возможный износ подшипника или дисбаланс ротора.,1
High,2026-05-09,08:04:17.500,2026-05-09T08:04:17.500,Vib_Sensor_04_Err,Compressor Station A,Critical threshold broken for Vib_Sensor_04_Err,Вибрация превысила критический порог. Возможный износ подшипника или дисбаланс ротора.,1
High,2026-05-09,08:04:21.500,2026-05-09T08:04:21.500,Pump_Cavitation,Pump Station B,Critical threshold broken for Pump_Cavitation,Кавитация насоса. Снизить производительность или повысить давление на входе.,1
High,2026-05-09,08:04:26.500,2026-05-09T08:04:26.500,Vib_Sensor_04_Err,Compressor Station A,Critical threshold broken for Vib_Sensor_04_Err,Вибрация превысила критический порог. Возможный износ подшипника или дисбаланс ротора.,1
Low,2026-05-09,08:04:32.500,2026-05-09T08:04:32.500,Flow_Variance,Boiler Unit,Critical threshold broken for Flow_Variance,Нестабильный расход. Частичное засорение трубопровода.,0
Medium,2026-05-09,08:04:34.500,2026-05-09T08:04:34.500,Pressure_Drop,Pump Station B,Critical threshold broken for Pressure_Drop,Падение давления. Возможна утечка или засорение фильтра.,0
Low,2026-05-09,08:04:38.500,2026-05-09T08:04:38.500,Valve_Slow,Compressor Station A,Critical threshold broken for Valve_Slow,Запаздывание клапана. Загрязнение привода или износ уплотнений.,0
Low,2026-05-09,08:04:40.500,2026-05-09T08:04:40.500,Valve_Slow,Compressor Station A,Critical threshold broken for Valve_Slow,Запаздывание клапана. Загрязнение привода или износ уплотнений.,0
High,2026-05-09,08:04:41.500,2026-05-09T08:04:41.500,Vib_Sensor_04_Err,Compressor Station A,Critical threshold broken for Vib_Sensor_04_Err,Вибрация превысила критический порог. Возможный износ подшипника или дисбаланс ротора.,1
High,2026-05-09,08:04:42.500,2026-05-09T08:04:42.500,Vib_Sensor_04_Err,Compressor Station A,Critical threshold broken for Vib_Sensor_04_Err,Вибрация превысила критический порог. Возможный износ подшипника или дисбаланс ротора.,1
Low,2026-05-09,08:04:49.500,2026-05-09T08:04:49.500,Valve_Slow,Compressor Station A,Critical threshold broken for Valve_Slow,Запаздывание клапана. Загрязнение привода или износ уплотнений.,0
High,2026-05-09,08:04:49.600,2026-05-09T08:04:49.600,Vib_Sensor_04_Err,Compressor Station A,Critical threshold broken for Vib_Sensor_04_Err,Вибрация превысила критический порог. Возможный износ подшипника или дисбаланс ротора.,1
Medium,2026-05-09,08:05:00.600,2026-05-09T08:05:00.600,Lube_Oil_Press_Low,Compressor Station A,Critical threshold broken for Lube_Oil_Press_Low,Давление смазочного масла ниже нормы. Проверить масляный насос и фильтры.,0
High,2026-05-09,08:05:04.600,2026-05-09T08:05:04.600,Vib_Sensor_04_Err,Compressor Station A,Critical threshold broken for Vib_Sensor_04_Err,Вибрация превысила критический порог. Возможный износ подшипника или дисбаланс ротора.,1
High,2026-05-09,08:05:08.600,2026-05-09T08:05:08.600,Pump_Cavitation,Pump Station B,Critical threshold broken for Pump_Cavitation,Кавитация насоса. Снизить производительность или повысить давление на входе.,1
Medium,2026-05-09,08:05:09.600,2026-05-09T08:05:09.600,Lube_Oil_Press_Low,Compressor Station A,Critical threshold broken for Lube_Oil_Press_Low,Давление смазочного масла ниже нормы. Проверить масляный насос и фильтры.,0
Medium,2026-05-09,08:05:13.600,2026-05-09T08:05:13.600,Shaft_Displacement,Compressor Station A,Critical threshold broken for Shaft_Displacement,Осевое смещение вала за пределами допуска. Проверить муфту и опоры.,0
Medium,2026-05-09,08:05:22.600,2026-05-09T08:05:22.600,Shaft_Displacement,Compressor Station A,Critical threshold broken for Shaft_Displacement,Осевое смещение вала за пределами допуска. Проверить муфту и опоры.,0
High,2026-05-09,08:05:29.600,2026-05-09T08:05:29.600,Vib_Sensor_04_Err,Compressor Station A,Critical threshold broken for Vib_Sensor_04_Err,Вибрация превысила критический порог. Возможный износ подшипника или дисбаланс ротора.,1
Low,2026-05-09,08:05:31.600,2026-05-09T08:05:31.600,Valve_Slow,Compressor Station A,Critical threshold broken for Valve_Slow,Запаздывание клапана. Загрязнение привода или износ уплотнений.,0
Low,2026-05-09,08:05:34.600,2026-05-09T08:05:34.600,Temp_Crit_B,Boiler Unit,Critical threshold broken for Temp_Crit_B,Критическая температура в зоне B. Нарушение теплообмена.,0
Medium,2026-05-09,08:05:40.600,2026-05-09T08:05:40.600,Bearing_Temp_High,Compressor Station A,Critical threshold broken for Bearing_Temp_High,Перегрев подшипника. Недостаточная смазка или повреждение обоймы.,0
High,2026-05-09,08:05:41.600,2026-05-09T08:05:41.600,HX_FoulingAlarm,Heat Exchanger C,Critical threshold broken for HX_FoulingAlarm,Загрязнение теплообменника. Снижение КПД — требуется промывка.,1
High,2026-05-09,08:05:43.600,2026-05-09T08:05:43.600,Vib_Sensor_04_Err,Compressor Station A,Critical threshold broken for Vib_Sensor_04_Err,Вибрация превысила критический порог. Возможный износ подшипника или дисбаланс ротора.,1
High,2026-05-09,08:05:44.600,2026-05-09T08:05:44.600,Steam_Press_High,Boiler Unit,Critical threshold broken for Steam_Press_High,Давление пара превышает норму. Проверить регулятор давления и предохранительный клапан.,1
High,2026-05-09,08:05:48.600,2026-05-09T08:05:48.600,Vib_Sensor_04_Err,Compressor Station A,Critical threshold broken for Vib_Sensor_04_Err,Вибрация превысила критический порог. Возможный износ подшипника или дисбаланс ротора.,1
High,2026-05-09,08:05:52.600,2026-05-09T08:05:52.600,Steam_Press_High,Boiler Unit,Critical threshold broken for Steam_Press_High,Давление пара превышает норму. Проверить регулятор давления и предохранительный клапан.,1
High,2026-05-09,08:05:53.600,2026-05-09T08:05:53.600,Vib_Sensor_04_Err,Compressor Station A,Critical threshold broken for Vib_Sensor_04_Err,Вибрация превысила критический порог. Возможный износ подшипника или дисбаланс ротора.,1
Medium,2026-05-09,08:06:05.600,2026-05-09T08:06:05.600,Valve_Stuck_Close,Boiler Unit,Critical threshold broken for Valve_Stuck_Close,Клапан не открывается. Механическая блокировка или отказ привода.,0
Medium,2026-05-09,08:06:07.600,2026-05-09T08:06:07.600,Flow_Low,Pump Station B,Critical threshold broken for Flow_Low,Низкий расход. Проверить задвижки и состояние рабочего колеса.,0
High,2026-05-09,08:06:12.600,2026-05-09T08:06:12.600,Vib_Sensor_04_Err,Compressor Station A,Critical threshold broken for Vib_Sensor_04_Err,Вибрация превысила критический порог. Возможный износ подшипника или дисбаланс ротора.,1
Low,2026-05-09,08:06:13.600,2026-05-09T08:06:13.600,Flow_Restrict,Heat Exchanger C,Critical threshold broken for Flow_Restrict,Ограничение потока. Частичное перекрытие прохода.,0
Medium,2026-05-09,08:06:23.600,2026-05-09T08:06:23.600,Lube_Oil_Press_Low,Compressor Station A,Critical threshold broken for Lube_Oil_Press_Low,Давление смазочного масла ниже нормы. Проверить масляный насос и фильтры.,0
High,2026-05-09,08:06:24.600,2026-05-09T08:06:24.600,Vib_Sensor_04_Err,Compressor Station A,Critical threshold broken for Vib_Sensor_04_Err,Вибрация превысила критический порог. Возможный износ подшипника или дисбаланс ротора.,1
Medium,2026-05-09,08:06:31.600,2026-05-09T08:06:31.600,Shaft_Displacement,Compressor Station A,Critical threshold broken for Shaft_Displacement,Осевое смещение вала за пределами допуска. Проверить муфту и опоры.,0
High,2026-05-09,08:06:34.600,2026-05-09T08:06:34.600,Vib_Sensor_04_Err,Compressor Station A,Critical threshold broken for Vib_Sensor_04_Err,Вибрация превысила критический порог. Возможный износ подшипника или дисбаланс ротора.,1
Medium,2026-05-09,08:06:38.600,2026-05-09T08:06:38.600,Bearing_Temp_High,Compressor Station A,Critical threshold broken for Bearing_Temp_High,Перегрев подшипника. Недостаточная смазка или повреждение обоймы.,0
Medium,2026-05-09,08:06:41.600,2026-05-09T08:06:41.600,Shaft_Displacement,Compressor Station A,Critical threshold broken for Shaft_Displacement,Осевое смещение вала за пределами допуска. Проверить муфту и опоры.,0
Medium,2026-05-09,08:06:46.600,2026-05-09T08:06:46.600,Flow_Low,Pump Station B,Critical threshold broken for Flow_Low,Низкий расход. Проверить задвижки и состояние рабочего колеса.,0
High,2026-05-09,08:06:54.600,2026-05-09T08:06:54.600,Vib_Sensor_04_Err,Compressor Station A,Critical threshold broken for Vib_Sensor_04_Err,Вибрация превысила критический порог. Возможный износ подшипника или дисбаланс ротора.,1
High,2026-05-09,08:06:57.600,2026-05-09T08:06:57.600,Vib_Sensor_04_Err,Compressor Station A,Critical threshold broken for Vib_Sensor_04_Err,Вибрация превысила критический порог. Возможный износ подшипника или дисбаланс ротора.,1
High,2026-05-09,08:07:05.600,2026-05-09T08:07:05.600,Steam_Press_High,Boiler Unit,Critical threshold broken for Steam_Press_High,Давление пара превышает норму. Проверить регулятор давления и предохранительный клапан.,1
High,2026-05-09,08:07:16.600,2026-05-09T08:07:16.600,Vib_Sensor_04_Err,Compressor Station A,Critical threshold broken for Vib_Sensor_04_Err,Вибрация превысила критический порог. Возможный износ подшипника или дисбаланс ротора.,1
High,2026-05-09,08:07:19.600,2026-05-09T08:07:19.600,Pump_Cavitation,Pump Station B,Critical threshold broken for Pump_Cavitation,Кавитация насоса. Снизить производительность или повысить давление на входе.,1
Medium,2026-05-09,08:07:20.600,2026-05-09T08:07:20.600,Valve_Stuck_Close,Boiler Unit,Critical threshold broken for Valve_Stuck_Close,Клапан не открывается. Механическая блокировка или отказ привода.,0
Medium,2026-05-09,08:07:21.600,2026-05-09T08:07:21.600,Lube_Oil_Press_Low,Compressor Station A,Critical threshold broken for Lube_Oil_Press_Low,Давление смазочного масла ниже нормы. Проверить масляный насос и фильтры.,0
Medium,2026-05-09,08:07:25.600,2026-05-09T08:07:25.600,Lube_Oil_Press_Low,Compressor Station A,Critical threshold broken for Lube_Oil_Press_Low,Давление смазочного масла ниже нормы. Проверить масляный насос и фильтры.,0
Medium,2026-05-09,08:07:25.700,2026-05-09T08:07:25.700,Valve_Stuck_Close,Boiler Unit,Critical threshold broken for Valve_Stuck_Close,Клапан не открывается. Механическая блокировка или отказ привода.,0
High,2026-05-09,08:07:33.700,2026-05-09T08:07:33.700,Vib_Sensor_04_Err,Compressor Station A,Critical threshold broken for Vib_Sensor_04_Err,Вибрация превысила критический порог. Возможный износ подшипника или дисбаланс ротора.,1
Medium,2026-05-09,08:07:38.700,2026-05-09T08:07:38.700,Bearing_Temp_High,Compressor Station A,Critical threshold broken for Bearing_Temp_High,Перегрев подшипника. Недостаточная смазка или повреждение обоймы.,0
High,2026-05-09,08:07:44.700,2026-05-09T08:07:44.700,Steam_Press_High,Boiler Unit,Critical threshold broken for Steam_Press_High,Давление пара превышает норму. Проверить регулятор давления и предохранительный клапан.,1
Medium,2026-05-09,08:07:46.700,2026-05-09T08:07:46.700,Bearing_Temp_High,Compressor Station A,Critical threshold broken for Bearing_Temp_High,Перегрев подшипника. Недостаточная смазка или повреждение обоймы.,0
High,2026-05-09,08:07:47.700,2026-05-09T08:07:47.700,Vib_Sensor_04_Err,Compressor Station A,Critical threshold broken for Vib_Sensor_04_Err,Вибрация превысила критический порог. Возможный износ подшипника или дисбаланс ротора.,1
